,Mês,Preparação do Terreno %,Construção de Edifícios e Obras Civis %,Obras de Infraestrutura para Eng. Elétrica e Telecom. %,Obras de Instalações %,Obras de Acabamento %,"Aluguel de Equipamentos de Construção e Demolição, com Operador %"
0,jan/12,-15.2,-7.0,-3.1,-4.5,3.8,-2.3
1,fev/12,-15.4,-10.1,-8.3,-10.8,-10.3,11.8
2,mar/12,-13.7,-5.9,-4.5,-8.1,-14.5,-10.1
3,abr/12,-6.7,-0.8,-12.5,-6.3,-7.5,-18.3
4,mai/12,-1.9,-2.3,-15.2,-2.8,1.2,-28.2
5,jun/12,-9.2,-4.3,-10.4,-3.9,0.0,-15.4
6,jul/12,-9.3,-2.6,-17.1,1.9,-7.0,-22.1
7,ago/12,-2.6,-4.7,-14.5,-3.7,-5.6,-18.5
8,set/12,-2.9,-3.8,-14.7,-2.1,-5.7,-28.8
9,out/12,0.6,-1.8,-7.2,-7.6,-10.8,-16.1
10,nov/12,6.6,-3.6,-8.9,-1.6,-8.3,-22.5
11,dez/12,-4.6,-4.3,-12.2,-2.9,-14.3,-4.4
