,"Grandes Regiões
e
Unidades da Federação 
de atuação das empresas com 5 ou mais
pessoas ocupadas
","Empresas Unidades
da
Federação
de origem
(sede)","Empresas Atuantes
nas
Unidades
da
Federação","Pessoal
ocupado
em
31.12","Salários,
retiradas
e outras
remunerações 1 000 R$","Custos de                                                                                                                                                                                      incorporação
e das obras                                                                                                                                                                                            e/ou serviços
da construção 1 000 R$","Valor das                                                                                                                                                                             incorporações,                                                                                                                                                                                               obras e/ou                                                                                                                                                                                       serviços
da construção 1 000 R$"
4,                    Brasil,55939,60047,2673865,58558285,120509724,324794360
5,            Norte,2184,2667,189999,4258576,8186193,22091886
6,Rondônia,332,392,32726,1000800,1179652,3538473
7,Acre,147,166,8027,127338,337567,861661
8,Amazonas,505,583,34196,915664,1546653,4020103
9,Roraima,71,96,5156,84584,417502,1120372
10,Pará,776,962,89645,1719995,3945011,10468384
11,Amapá,110,134,7427,174282,248358,783094
12,Tocantins,241,334,12822,235913,511451,1299800
13,             Nordeste,8108,9221,617177,11913774,22751366,63400144
14,Maranhão,546,688,67511,1242431,2264904,6819104
15,Piauí,372,436,29837,355500,718729,1964772
16,Ceará,1252,1365,73482,1338596,2833718,8078624
17,Rio Grande do Norte,812,912,42738,730852,1387817,4036213
18,Paraíba,945,1000,37192,503336,1418657,3507992
19,Pernambuco,1399,1566,137768,3408668,5697091,16263027
20,Alagoas,402,475,32014,467466,1289960,2971568
21,Sergipe,308,393,30106,712023,1310981,3481119
22,Bahia,2073,2387,166528,3154902,5829509,16277725
23,           Sudeste,27500,28845,1282482,30701007,62048097,168444612
24,Minas Gerais,6944,7317,301453,6377894,12074741,34675201
25,Espírito Santo,1445,1620,59368,1152622,2471678,7309889
26,Rio de Janeiro,4035,4487,284760,7285710,13503600,36839840
27,São Paulo,15076,15422,636901,15884782,33998078,89619682
28,           Sul,13523,14051,362126,7138633,16726635,43238878
29,Paraná,4629,4802,131378,2703118,5913434,15382110
30,Santa Catarina,3888,4075,94316,1676397,4581975,11319432
31,Rio Grande do Sul,5007,5174,136432,2759118,6231226,16537336
32,           Centro-Oeste,4623,5263,222082,4546296,10797432,27618840
33,Mato Grosso do Sul,661,780,31437,621889,1489568,3950108
34,Mato Grosso,948,1074,42804,936503,1824225,4908886
35,Goiás,1773,1946,83398,1624493,3523709,9279705
36,Distrito Federal,1241,1462,64443,1363410,3959930,9480141
