,"Códigos 
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Salários, retiradas e outras remunerações  Total 1 000 R$","Salários, retiradas e outras remunerações  Pessoal assalariado Ligado 
à construção 1 000 R$","Salários, retiradas e outras remunerações  Pessoal assalariado Não ligado 
à construção 1 000 R$","Salários, retiradas e outras remunerações   Pessoal não assalariado                                                                   Proprietários
e sócios  (1) 1 000 R$
"
4,,                      Total das empresas,60317120,50281090,7526421,2509609
5,,Empresas de 1 a 4 pessoas ocupadas,1758835,1013151,88814,656869
6,41,Construção de edifícios,641158,431203,28094,181860
7,42,Obras de infraestrutura,189958,125834,16036,48088
8,43,Serviços especializados para construção,927718,456114,44684,426920
9,,Empresas de 5 a 29 pessoas ocupadas,7387677,6070479,547235,769964
10,41,Construção de edifícios,3464518,2854776,294032,315710
11,41.1,    Incorporação e empreendimentos imobiliários,144105,110047,20335,13723
12,41.2,    Construção de edifícios,3320413,2744729,273698,301987
13,42,Obras de infraestrutura,655424,544845,45284,65294
14,42.1,"    Construção de rodovias, ferrovias, obras urbanas  e obras de arte especiais",218555,182914,15040,20602
15,42.2,"   Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",159540,131025,14436,14079
16,42.9,     Construção de outras obras de infraestrutura,277329,230907,15808,30613
17,43,Serviços especializados para construção,3267735,2670857,207918,388960
18,43.1,      Demolição e preparação do terreno,382404,321876,23076,37452
19,43.2,"        Instalações elétricas, hidráulicas e outras instalações em construções",1235913,974834,111791,149288
20,43.3,      Obras de acabamento,688838,591546,25594,71699
21,43.9,      Outros serviços especializados para construções,960580,782601,47458,130521
22,,Empresas com 30 ou mais pessoas ocupadas ,51170608,43197460,6890372,1082776
23,41,Construção de edifícios,16655299,14070674,2094046,490579
24,41.1,    Incorporação e empreendimentos imobiliários,756077,562117,165048,28911
25,41.10,        Incorporação e empreendimentos imobiliários,756077,562117,165048,28911
26,41.2,    Construção de edifícios,15899223,13508557,1928998,461668
27,41.20,        Construção de edifícios,15899223,13508557,1928998,461668
28,42,Obras de infraestrutura,26592905,22285650,3949699,357556
29,42.1,"   Construção de rodovias, ferrovias, obras urbanas  e obras de arte especiais",8378583,7004111,1213882,160590
30,42.11,        Construção de rodovias e ferrovias,5323495,4435745,765013,122736
31,42.12,        Construção de obras de arte especiais,1643147,1360089,270976,12082
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",1411941,1208276,177893,25772
33,42.2,"   Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",7474078,6638438,748075,87566
34,42.21,        Obras para geração e distribuição de energia elétrica e para telecomunicações,5944311,5346915,540009,57386
35,42.22,"          Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",904582,801105,78379,25098
36,42.23,"         Construção de redes de transportes por dutos, exceto para água e esgoto",625185,490417,129687,5081
37,42.9,     Construção de outras obras de infraestrutura,10740244,8643102,1987742,109400
38,42.91,"        Obras portuárias, marítimas e fluviais",2644339,2129592,509852,4895
39,42.92,          Montagem de instalações industriais e de estruturas metálicas,4453186,3413362,1003319,36504
40,42.99,         Obras de engenharia civil não especificadas anteriormente,3642719,3100148,474571,68001
41,43,Serviços especializados para construção,7922404,6841136,846627,234641
42,43.1,      Demolição e preparação do terreno,1476925,1262478,168146,46301
43,43.11,         Demolição e preparação de canteiros de obras,161046,134622,23816,2608
44,43.12,         Perfurações e sondagens,201308,165289,27261,8757
45,43.13,         Obras de terraplenagem,1060083,924091,101881,34111
46,43.19,            Serviços de preparação do terreno não especificados anteriormente,54488,38476,15187,825
47,43.2,"         Instalações elétricas, hidráulicas e outras instalações em construções",2684820,2310496,299394,74930
48,43.21,         Instalações elétricas,1417601,1252748,131334,33519
49,43.22,"         Instalações hidráulicas, de sistemas de ventilação e refrigeração",816432,673976,113203,29252
50,43.29,          Obras de instalações em construções não especi- ficadas anteriormente,450788,383772,54856,12159
51,43.3,      Obras de acabamento,1006031,905049,73107,27875
52,43.30,         Obras de acabamento,1006031,905049,73107,27875
53,43.9,      Outros serviços especializados para construção,2754628,2363113,305980,85535
54,43.91,         Obras de fundações,675102,570429,82412,22261
55,43.99,          Serviços especializados para construção não especificados anteriormente,2079526,1792684,223568,63274
