,"Grandes Regiões 
e
Unidades da Federação 
da sede da empresa","Número 
de
empresas
ativas","Pessoal
ocupado
em
31.12",Custos e despesas Total 1 000 R$,Custos e despesas Gastos de pessoal Total 1 000 R$,"Custos e despesas Gastos de pessoal Salários,
retiradas e
outras
remunerações 1 000 R$","Custos e despesas Custos das obras e/ou 
serviços da construção Total 1 000 R$","Custos e despesas Custos das obras e/ou 
serviços da construção Consumo de
materiais de
construção 1 000 R$",Custos e despesas Custos de incorporação de imóveis Total 1 000 R$,Custos e despesas Custos de incorporação de imóveis Materiais de construção 1 000 R$,"Custos e despesas Outros
custos e
despesas 1 000 R$"
6,Total das empresas,,,,,,,,,,
7,Brasil ,111931,2961190,301796485,102293357,67401296,124430148,74760026,5602883,3065415,69470094
8, Norte,4481,130404,9855834,3174588,2143040,4656758,3290160,112285,81707,1912204
9, Nordeste,17255,580411,41973527,14324913,9479046,17848132,12052850,699159,328183,9101321
10,Sudeste,50008,1611861,190324299,66057386,43038805,74721125,42638579,3102067,1523441,46443721
11,Sul,30502,412501,38537391,12405837,8442788,17402778,10512444,1088354,721114,7640419
12,Centro-Oeste,9685,226013,21105434,6330633,4297617,9801355,6265993,601018,410970,4372429
13,Empresas de 1 a 4 pessoas ocupadas,,,,,,,,,,
14,Brasil ,52233,186542,11684033,3637329,2637119,4048505,2491430,487048,306276,3511149
15,Norte,2080,12806,711018,226197,160466,253116,152827,9778,9254,221927
16,Nordeste,8033,39519,2682418,719766,478150,712887,496775,108542,29319,1141223
17,Sudeste,21019,69629,3171621,1251441,929800,1119191,854284,31314,16364,769675
18,Sul,16411,45668,3813320,1068478,796344,1511572,650179,237324,188056,995944
19,Centro-Oeste,4690,18920,1305656,371447,272359,451739,337365,100090,63283,382380
20,Empresas com 5 ou mais pessoas ocupadas,,,,,,,,,,
21,Brasil ,59698,2774648,290112452,98656028,64764177,120381643,72268596,5115835,2759139,65958945
22,Norte,2401,117598,9144816,2948391,1982574,4403642,3137333,102507,72453,1690277
23,Rondônia,355,10152,752744,227389,159304,365954,250026,21157,8819,138244
24,Acre,165,8298,562945,184878,134163,303842,202834,1540,847,72685
25,Amazonas,592,29517,2498405,800085,529092,1260137,953945,45633,38494,392550
26,Roraima,76,3509,222239,72994,52678,120710,91701,365,65,28171
27,Pará,823,50555,3871576,1303621,859874,1738806,1206386,17214,9083,811936
28,Amapá,131,4601,249834,95770,68955,108739,86170,78,73,45247
29,Tocantins,259,10966,987073,263654,178508,505454,346271,16520,15072,201444
30, Nordeste,9222,540892,39291109,13605147,9000896,17135245,11556075,590617,298864,7960098
31,Maranhão,610,39103,2635524,859793,582539,1261659,869925,30829,1381,483243
32,Piauí,391,35171,1878095,657331,444520,942665,700565,7584,2114,270515
33,Ceará,1422,90884,6588764,1911406,1262291,2978442,1604411,132270,96373,1566645
34,Rio Grande do Norte,869,35978,3317171,883119,587318,1566953,1189346,30420,26784,836678
35,Paraíba,1005,38204,1958802,737572,505708,913247,745287,1025,842,306958
36,Pernambuco,1604,92337,6845421,2490474,1669429,2991044,2180495,110862,62562,1253041
37,Alagoas,471,25550,1706566,578623,392502,849464,585024,13065,9970,265414
38,Sergipe,381,25384,1961245,630438,424029,799999,513366,51015,8049,479794
39,Bahia,2469,158281,12399521,4856391,3132560,4831772,3167656,213547,90789,2497810
40,Sudeste,28989,1542232,187152678,64805945,42109005,73601934,41784295,3070753,1507077,45674046
41,Minas Gerais,6582,378043,37956818,13373195,8724100,14804407,8196897,295673,217712,9483543
42,Espírito Santo,1379,50725,3967459,1438056,938946,1584161,1029773,149346,145880,795896
43,Rio de Janeiro,4371,314594,38934070,13696369,8935350,14309490,8244188,476674,126343,10451537
44,São Paulo,16657,798870,106294331,36298325,23510609,42903876,24313437,2149060,1017142,24943070
45,Sul,14091,366833,34724071,11337359,7646444,15891206,9862265,851030,533058,6644475
46,Paraná,4791,143589,14100175,4491454,2962174,6608596,3690533,281975,142245,2718149
47,Santa Catarina,4084,98302,9100782,3093661,2086235,4014633,2696786,237475,159964,1755013
48,Rio Grande do Sul,5216,124942,11523114,3752244,2598035,5267977,3474946,331580,230849,2171313
49,Centro-Oeste,4995,207093,19799778,5959186,4025258,9349616,5928628,500928,347687,3990049
50,Mato Grosso do Sul,718,29231,2063051,656246,452889,1011798,628538,10270,4512,384738
51,Mato Grosso,983,39389,3211722,1037486,720287,1615335,1039924,34379,24397,524522
52,Goiás,2015,79151,7196925,2434215,1638380,3109980,2164346,220246,178371,1432484
53,Distrito Federal,1279,59322,7328080,1831239,1213702,3612503,2095820,236033,140407,1648305
