,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades",Custos e despesas Custos de incorporação de imóveis construídos por terceiros Total 1 000 R$,"Custos e despesas Custos de incorporação de imóveis construídos por terceiros Materiais
de
construção 1 000 R$",Custos e despesas Custos de incorporação de imóveis construídos por terceiros Obras contratadas 1 000 R$,"Custos e despesas Custos de incorporação de imóveis construídos por terceiros Serviço de engenharia
e arquitetura 1 000 R$",Custos e despesas Custos de incorporação de imóveis construídos por terceiros Custos dos terrenos 1 000 R$
4,,Total das empresas,5602884,3065415,1832164,245078,460221
5,,Empresas de 1 a 4 pessoas ocupadas,487049,306277,130811,16893,33067
6,41,Construção de edifícios,459205,292598,130054,4071,32481
7,42,Obras de infraestrutura,23423,10035,235,12723,430
8,43,Serviços especializados para construção,4421,3644,522,99,156
9,,Empresas de 5 a 29 pessoas ocupadas,848948,539901,217684,24327,67034
10,41,Construção de edifícios,722907,434108,213422,21139,54238
11,41.1,Incorporação e empreendimentos imobiliários,568510,291196,207346,18490,51479
12,41.2,Construção de edifícios,154397,142912,6076,2649,2759
13,42,Obras de infraestrutura,27626,23372,695,2680,878
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",14,13,-,-,-
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",3404,1793,2,1610,-
16,42.9,Construção de outras obras de infraestrutura,24208,21566,693,1070,878
17,43,Serviços especializados para construção,98415,82421,3567,508,11918
18,43.1,Demolição e preparação do terreno,3965,898,1676,56,1335
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1502,444,657,358,42
20,43.3,Obras de acabamento,30509,30478,-,31,-
21,43.9,Outros serviços especializados para construções,62439,50601,1234,63,10541
22,,Empresas com 30 ou mais pessoas ocupadas,4266887,2219237,1483669,203858,360120
23,41,Construção de edifícios,4045528,2047072,1460370,184676,353411
24,41.1,Incorporação e empreendimentos imobiliários,2788279,1338804,1125836,96212,227428
25,41.10,Incorporação e empreendimentos imobiliários,2788279,1338804,1125836,96212,227428
26,41.2,Construção de edifícios,1257249,708268,334534,88464,125983
27,41.20,Construção de edifícios,1257249,708268,334534,88464,125983
28,42,Obras de infraestrutura,120727,88675,17180,12227,2644
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",96144,79908,9498,5222,1516
30,42.11,Construção de rodovias e ferrovias,88909,76372,9219,1893,1425
31,42.12,Construção de obras de arte especiais,-,-,-,-,-
32,42.13,"Obras de urbanização - ruas, praças e calçadas",7235,3536,279,3329,91
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",4307,2200,1347,604,156
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,1918,1648,26,245,-
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",2389,552,1321,359,156
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",-,-,-,-,-
37,42.9,Construção de outras obras de infraestrutura,20276,6567,6335,6401,972
38,42.91,"Obras portuárias, marítimas e fluviais",-,-,-,-,-
39,42.92,Montagem de instalações industriais e de estruturas metálicas,3312,2700,398,62,152
40,42.99,Obras de engenharia civil não especificadas anteriormente,16964,3867,5937,6339,820
41,43,Serviços especializados para construção,100632,83490,6119,6955,4065
42,43.1,Demolição e preparação do terreno,15863,8565,152,4936,2210
43,43.11,Demolição e preparação de canteiros de obras,-,-,-,-,-
44,43.12,Perfurações e sondagens,-,-,-,-,-
45,43.13,Obras de terraplenagem,13653,8565,152,4936,-
46,43.19,Serviços de preparação do terreno não especificados anteriormente,2210,-,-,-,2210
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",34949,34331,75,536,6
48,43.21,Instalações elétricas,31199,30745,75,372,6
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",3750,3586,-,164,-
50,43.29,Obras de instalações em construções não especificadas anteriormente,-,-,-,-,-
51,43.3,Obras de acabamento,7119,6635,441,41,1
52,43.30,Obras de acabamento,7119,6635,441,41,1
53,43.9,Outros serviços especializados para construção,42701,33959,5451,1442,1848
54,43.91,Obras de fundações,8439,8220,94,124,-
55,43.99,Serviços especializados para construção não especificados anteriormente,34262,25739,5357,1318,1848
